iter	Passed	Remaining
557	282873	2251831
558	283593	2253018
559	284191	2253235
560	284644	2252296
561	285032	2250845
562	285412	2249334
563	285673	2246893
564	286390	2248035
565	286878	2247380
566	287348	2246591
567	287606	2244139
568	288063	2243252
569	288797	2244511
570	289509	2245602
571	290030	2245203
572	290814	2246837
573	291488	2247611
574	292243	2249004
575	293074	2250972
576	293775	2251940
577	294503	2253102
578	294911	2251820
579	295633	2252932
580	296180	2252706
581	296571	2251292
582	297268	2252205
583	297894	2252570
584	298252	2250917
585	298839	2250988
586	299538	2251897
587	299970	2250798
588	300380	2249535
589	300625	2247047
590	301072	2246071
591	301686	2246337
592	302114	2245223
593	302738	2245568
594	303334	2245692
595	303835	2245119
596	304235	2243802
597	304511	2241567
598	304949	2240537
599	305417	2239729
600	306181	2241083
601	306781	2241236
602	307146	2239676
603	307553	2238419
604	307959	2237162
605	308517	2237005
606	309022	2236468
607	309485	2235626
608	309956	2234840
609	310546	2234918
610	311070	2234515
611	311769	2235367
612	312145	2233903
613	312646	2233337
614	313218	2233271
615	313770	2233068
616	314130	2231495
617	314421	2229441
618	315233	2231080
619	315560	2229284
620	316116	2229105
621	316621	2228567
622	317082	2227719
623	317809	2228741
624	318604	2230228
625	318988	2228840
626	319721	2229891
627	320231	2229379
628	320649	2228231
629	320996	2226595
630	321472	2225855
631	322350	2227887
632	322688	2226192
633	322963	2224067
634	323788	2225728
635	324203	2224566
636	324885	2225232
637	325375	2224589
638	326075	2225377
639	326681	2225519
640	327741	2228741
641	328534	2230143
642	328836	2228214
643	329000	2225352
644	329427	2224274
645	329789	2222762
646	330504	2223624
647	331264	2224785
648	331712	2223851
649	332237	2223437
650	333236	2226180
651	333797	2225998
652	334550	2227089
653	335031	2226368
654	335364	2224666
655	335827	2223832
656	336380	2223589
657	336820	2222607
658	337578	2223712
659	337981	2222486
660	338326	2220876
661	338767	2219902
662	339599	2221482
663	340108	2220950
664	340855	2221969
665	341298	2220999
666	341644	2219406
667	342118	2218646
668	342666	2218365
669	343303	2218664
670	344151	2220318
671	344420	2218230
672	344772	2216684
673	345649	2218516
674	346251	2218573
675	346760	2218039
676	347450	2218652
677	347837	2217338
678	348287	2216418
679	348776	2215756
680	349256	2215032
681	349748	2214388
682	350023	2212377
683	350220	2209869
684	350679	2209023
685	351277	2209051
686	351797	2208589
687	352317	2208127
688	353013	2208766
689	353736	2209571
690	354365	2209785
691	354673	2207995
692	355082	2206841
693	355881	2208104
694	356368	2207434
695	356933	2207242
696	357291	2205774
697	357963	2206242
698	358629	2206674
699	359301	2207135
700	359852	2206857
701	360559	2207525
702	360910	2206021
703	361615	2206677
704	361934	2204979
705	362528	2204954
706	363454	2206945
707	363972	2206457
708	364669	2207046
709	365506	2208481
710	365928	2207405
711	366735	2208654
712	367553	2209963
713	368225	2210382
714	369012	2211496
715	370033	2213996
716	370331	2212178
717	370884	2211875
718	371733	2213338
719	372298	2213108
720	372537	2210940
721	372985	2210017
722	373245	2207980
723	373939	2208517
724	374623	2208988
725	375384	2209906
726	375991	2209917
727	376451	2209067
728	377146	2209592
729	377709	2209342
730	378316	2209348
731	378525	2207031
732	379254	2207745
733	379826	2207549
734	380279	2206653
735	380843	2206406
736	381469	2206521
737	382199	2207228
738	382723	2206743
739	383253	2206297
740	383700	2205370
741	384294	2205288
742	384706	2204167
743	385161	2203291
744	385671	2202726
745	386188	2202204
746	386731	2201833
747	387265	2201409
748	387888	2201488
749	388306	2200401
750	389120	2201560
751	389674	2201247
752	390104	2200230
753	390660	2199925
754	391455	2200964
755	392310	2202333
756	393016	2202865
757	393425	2201728
758	393706	2199882
759	394448	2200607
760	395165	2201193
761	395663	2200556
762	396256	2200445
763	397040	2201390
764	397765	2202008
765	398408	2202169
766	398939	2201707
767	399786	2202987
768	400329	2202591
769	401079	2203333
770	401897	2204441
771	402507	2204404
772	403214	2204897
773	403823	2204857
774	404343	2204322
775	405013	2204607
776	405297	2202794
777	406006	2203287
778	406176	2200860
779	406831	2201060
780	407109	2199226
781	407671	2198923
782	408289	2198922
783	408571	2197111
784	409095	2196606
785	409839	2197281
786	410593	2198003
787	411037	2197070
788	411438	2195901
789	412456	2198027
790	413176	2198557
791	413732	2198213
792	414334	2198115
793	414937	2198020
794	415798	2199288
795	416527	2199851
796	417221	2200226
797	417722	2199586
798	418347	2199596
799	419180	2200698
800	419795	2200650
801	420333	2200200
802	420890	2199848
803	421789	2201278
804	422501	2201730
805	423001	2201075
806	423805	2202003
807	424267	2201151
808	424568	2199462
809	425434	2200706
810	425731	2199002
811	426761	2201081
812	427072	2199450
813	427579	2198830
814	428040	2197977
815	428662	2197946
816	429284	2197915
817	430176	2199264
818	430642	2198433
819	431171	2197920
820	431926	2198563
821	432632	2198949
822	433001	2197628
823	433317	2196038
824	433936	2195981
825	434588	2196092
826	434921	2194589
827	435632	2194997
828	435963	2193489
829	436285	2191941
830	436782	2191271
831	437434	2191379
832	437959	2190848
833	438592	2190860
834	439000	2189747
835	439318	2188182
836	440290	2189880
837	440601	2188284
838	441287	2188554
839	441780	2187867
840	442282	2187219
841	442694	2186134
842	443124	2185136
843	443824	2185468
844	444338	2184881
845	444756	2183829
846	445348	2183628
847	445846	2182964
848	446410	2182625
849	447230	2183535
850	447785	2183151
851	448395	2183034
852	449021	2182993
853	449484	2182155
854	450035	2181753
855	450483	2180843
856	451086	2180689
857	451682	2180499
858	452679	2182239
859	453372	2182514
860	454185	2183363
861	454682	2182685
862	455260	2182400
863	455664	2181284
864	456213	2180859
865	456693	2180106
866	457201	2179484
867	458018	2180338
868	458570	2179924
869	459246	2180099
870	460036	2180814
871	460322	2179141
872	460636	2177602
873	461082	2176687
874	461704	2176606
875	462176	2175815
876	462768	2175592
877	463602	2176501
878	464209	2176345
879	464876	2176467
880	465631	2176997
881	466107	2176225
882	466411	2174648
883	466848	2173699
884	467521	2173840
885	468281	2174388
886	468756	2173614
887	468969	2171622
888	469589	2171521
889	470401	2172304
890	470885	2171571
891	471476	2171328
892	471888	2170266
893	472576	2170468
894	473521	2171850
895	474363	2172752
896	474642	2171080
897	475293	2171107
898	475954	2171178
899	476315	2169881
900	477038	2170233
901	477887	2171157
902	478571	2171324
903	479414	2172212
904	480143	2172583
905	481185	2174362
906	482042	2175303
907	482693	2175309
908	483213	2174727
909	483593	2173514
910	484331	2173907
911	485210	2174935
912	486001	2175563
913	486830	2176355
914	487679	2177235
915	488169	2176511
916	488773	2176295
917	489114	2174907
918	489737	2174773
919	490157	2173741
920	490666	2173102
921	491896	2175653
922	492417	2175065
923	493114	2175251
924	493715	2175018
925	494114	2173889
926	495130	2175478
927	495960	2176238
928	496512	2175784
929	497387	2176739
930	497863	2175945
931	498413	2175480
932	499085	2175544
933	499511	2174531
934	500310	2175144
935	501033	2175427
936	501652	2175255
937	502068	2174201
938	502627	2173768
939	503585	2175058
940	504502	2176170
941	504909	2175077
942	505710	2175681
943	506283	2175302
944	507095	2175949
945	507974	2176879
946	508497	2176284
947	509210	2176498
948	509862	2176451
949	510445	2176109
950	510931	2175354
951	511942	2176831
952	512545	2176569
953	513051	2175899
954	513366	2174417
955	513670	2172892
956	513981	2171398
957	514708	2171662
958	515480	2172112
959	516293	2172734
960	516568	2171091
961	517057	2170351
962	517767	2170538
963	518329	2170099
964	518694	2168841
965	518914	2166978
966	519219	2165472
967	519797	2165108
968	520102	2163605
969	520603	2162918
970	521083	2162147
971	521791	2162320
972	522881	2164073
973	523491	2163835
974	524201	2164009
975	524892	2164106
976	525721	2164768
977	526389	2164764
978	526968	2164392
979	527333	2163142
980	528101	2163547
981	528503	2162451
982	528891	2161300
983	529454	2160864
984	529770	2159420
985	530322	2158939
986	531096	2159363
987	531684	2159024
988	532084	2157928
989	532432	2156621
990	533185	2156953
991	533859	2156966
992	534508	2156872
993	534985	2156090
994	535896	2157051
995	536377	2156280
996	536945	2155859
997	537989	2157349
998	538675	2157396
999	539092	2156371
1000	539446	2155091
1001	539814	2153871
1002	540085	2152263
1003	540317	2150505
1004	540873	2150041
1005	541612	2150296
1006	541903	2148780
1007	542984	2150390
1008	543420	2149445
1009	544351	2150459
1010	544939	2150112
1011	545586	2149999
1012	546129	2149475
1013	546531	2148396
1014	546853	2147006
1015	547146	2145501
1016	547633	2144764
1017	548002	2143560
1018	548891	2144395
1019	549730	2145025
1020	550255	2144431
1021	550723	2143620
1022	550996	2142047
1023	551910	2142965
1024	552719	2143472
1025	553115	2142377
1026	553581	2141557
1027	554382	2142031
1028	554544	2140037
1029	555246	2140125
1030	555727	2139363
1031	556670	2140377
1032	557257	2140020
1033	557690	2139071
1034	558289	2138760
1035	558605	2137365
1036	558997	2136263
1037	559632	2136092
1038	560264	2135907
1039	560907	2135763
1040	561507	2135456
1041	561968	2134615
1042	562601	2134434
1043	563396	2134864
1044	563882	2134120
1045	564637	2134394
1046	565340	2134469
1047	566093	2134734
1048	566574	2133972
1049	566993	2132975
1050	567482	2132242
1051	567841	2131023
1052	568045	2129227
1053	568741	2129272
1054	569679	2130223
1055	570815	2131910
1056	571379	2131456
1057	571807	2130495
1058	572831	2131755
1059	573585	2132006
1060	574215	2131795
1061	574851	2131603
1062	575123	2130068
1063	575969	2130652
1064	576843	2131340
1065	577441	2131007
1066	578297	2131625
1067	578938	2131448
1068	579533	2131100
1069	579779	2129469
1070	580348	2129027
1071	581214	2129673
1072	582270	2131012
1073	582879	2130712
1074	583566	2130695
1075	584088	2130078
1076	584532	2129176
1077	585220	2129160
1078	586015	2129532
1079	586443	2128574
1080	587322	2129248
1081	587964	2129061
1082	588731	2129327
1083	589148	2128324
1084	589960	2128751
1085	590565	2128426
1086	591194	2128190
1087	592356	2129871
1088	593062	2129906
1089	593761	2129915
1090	594298	2129343
1091	594796	2128630
1092	595192	2127553
1093	595950	2127771
1094	596490	2127208
1095	597202	2127260
1096	597738	2126683
1097	598341	2126347
1098	598844	2125652
1099	599608	2125885
1100	600359	2126067
1101	601170	2126462
1102	601783	2126154
1103	602753	2127107
1104	603595	2127604
1105	604263	2127489
1106	604686	2126508
1107	605422	2126628
1108	606327	2127338
1109	606677	2126105
1110	607555	2126718
1111	608217	2126572
1112	609185	2127495
1113	609761	2127048
1114	610063	2125647
1115	610574	2124973
1116	611012	2124048
1117	611716	2124045
1118	612659	2124871
1119	613061	2123821
1120	613365	2122431
1121	613870	2121738
1122	614564	2121699
1123	615345	2121955
1124	616273	2122718
1125	616762	2121970
1126	617752	2122942
1127	618823	2124189
1128	619662	2124635
1129	620288	2124350
1130	620809	2123706
1131	621420	2123368
1132	621923	2122665
1133	622452	2122047
1134	623176	2122093
1135	623919	2122206
1136	624734	2122559
1137	625487	2122700
1138	625998	2122021
1139	626896	2122648
1140	627953	2123814
1141	628915	2124656
1142	630026	2125995
1143	630542	2125325
1144	631145	2124947
1145	631461	2123606
1146	632198	2123679
1147	632940	2123767
1148	633512	2123287
1149	634109	2122888
1150	634993	2123447
1151	635537	2122870
1152	635961	2121894
1153	636465	2121182
1154	637190	2121209
1155	637695	2120503
1156	638526	2120880
1157	639086	2120355
1158	639779	2120269
1159	640424	2120027
1160	640955	2119404
1161	641409	2118527
1162	642028	2118196
1163	642920	2118766
1164	643493	2118280
1165	644132	2118014
1166	644650	2117347
1167	645300	2117117
1168	645868	2116614
1169	646380	2115930
1170	647738	2118011
1171	648172	2117069
1172	648876	2117007
1173	649473	2116599
1174	649811	2115344
1175	650438	2115029
1176	651067	2114724
1177	651850	2114918
1178	652500	2114678
1179	653261	2114796
1180	654016	2114894
1181	654542	2114248
1182	654982	2113328
1183	655473	2112572
1184	655701	2110971
1185	656347	2110716
1186	656864	2110045
1187	657492	2109732
1188	657954	2108883
1189	658348	2107820
1190	658910	2107296
1191	659710	2107532
1192	660476	2107657
1193	661083	2107271
1194	661718	2106976
1195	662172	2106105
1196	663024	2106500
1197	663607	2106040
1198	664059	2105163
1199	664467	2104147
1200	665352	2104641
1201	665819	2103812
1202	666628	2104063
1203	667495	2104495
1204	668424	2105121
1205	669087	2104908
1206	669874	2105083
1207	670278	2104053
1208	670619	2102827
1209	671374	2102901
1210	671957	2102431
1211	672552	2102002
1212	673505	2102692
1213	674356	2103059
1214	675016	2102829
1215	675928	2103383
1216	676231	2102039
1217	676840	2101650
1218	677230	2100581
1219	677813	2100109
1220	678347	2099489
1221	678682	2098249
1222	678857	2096519
1223	679692	2096829
1224	680401	2096746
1225	681176	2096869
1226	681494	2095583
1227	682322	2095864
1228	683068	2095890
1229	683794	2095859
1230	684291	2095121
1231	685300	2095952
1232	686371	2096969
1233	687016	2096681
1234	687644	2096340
1235	688223	2095852
1236	688523	2094512
1237	688832	2093203
1238	689829	2093985
1239	690948	2095132
1240	691713	2095206
1241	692143	2094264
1242	693206	2095234
1243	693674	2094406
1244	694097	2093441
1245	694806	2093340
1246	695822	2094163
1247	696638	2094382
1248	697444	2094565
1249	698049	2094148
1250	698864	2094358
1251	699276	2093361
1252	700042	2093422
1253	700636	2092969
1254	701176	2092354
1255	701826	2092069
1256	702553	2092010
1257	703301	2092013
1258	704079	2092105
1259	704487	2091097
1260	705320	2091350
1261	705993	2091127
1262	706621	2090771
1263	707817	2092094
1264	708465	2091793
1265	709192	2091725
1266	709719	2091066
1267	710152	2090132
1268	710644	2089373
1269	711139	2088621
1270	711586	2087731
1271	712133	2087132
1272	712558	2086177
1273	713558	2086905
1274	714658	2087924
1275	715503	2088192
1276	716113	2087775
1277	716630	2087086
1278	717358	2087013
1279	718151	2087127
1280	718716	2086578
